,dataset,subsample_n,method,val_nll,val_accuracy,test_nll,test_accuracy,data_seed
128,cc18_26,-1,ag-bagging,0.3009373982813216,0.8402366863905325,0.4101248960281364,0.7647058823529411,7
129,cc18_3,-1,ag-bagging,0.5860633373973405,0.69,0.6582168300863575,0.63,10
130,cc18_15,-1,ag-bagging,0.0097968200149879,1.0,0.0185312757587045,0.9966101694915256,7
131,cc18_0,-1,ag-bagging,1.0558201403806858e-05,1.0,0.0023682460886341,1.0,13
132,cc18_26,-1,ag-bagging,0.3487388743651153,0.8461538461538461,0.442383769241074,0.7823529411764706,11
133,cc18_5,-1,ag-bagging,0.00042957127788,1.0,0.0010559375433414,1.0,7
134,cc18_4,-1,ag-bagging,0.0034913360213756,1.0,0.0061930553879504,0.9975,11
135,cc18_14,-1,ag-bagging,0.0516013731250082,1.0,0.0505634019705451,1.0,8
136,cc18_24,-1,ag-bagging,0.025423866881449,1.0,0.0517852246052977,0.990990990990991,8
137,cc18_18,-1,ag-bagging,0.0004081100872944,1.0,0.004187879917035,1.0,7
138,cc18_15,-1,ag-bagging,0.0368426597821665,1.0,0.0465335412479588,0.9932203389830508,8
139,cc18_23,-1,ag-bagging,0.001590419797968,1.0,0.0275542694715266,0.9809523809523808,12
140,cc18_5,-1,ag-bagging,0.0005508976405546,1.0,0.0038920654839697,1.0,14
141,cc18_17,-1,ag-bagging,0.4990875163786609,0.77,0.5084698177401039,0.745,10
142,cc18_18,-1,ag-bagging,0.0001139522416903,1.0,0.0039411034307483,1.0,10
143,cc18_26,-1,ag-bagging,0.3517949536578415,0.8047337278106509,0.4755331078884912,0.7705882352941177,14
144,cc18_22,-1,ag-bagging,0.2799070714086957,0.8466453674121406,0.275459338131923,0.9009584664536742,10
145,cc18_27,-1,ag-bagging,0.0451100507411947,0.9736842105263158,0.1178222331003454,0.9736842105263158,5
146,cc18_7,-1,ag-bagging,0.1391221508408544,0.9444444444444444,0.1051029226663695,0.9629629629629628,10
147,cc18_13,-1,ag-bagging,0.7216382885192872,0.6258503401360545,0.6397008696377797,0.7162162162162162,6
148,cc18_19,-1,ag-bagging,0.0099828583672928,1.0,0.0345456251820606,0.9875,10
149,cc18_7,-1,ag-bagging,0.1650129022545456,0.9166666666666666,0.2024174263487201,0.925925925925926,8
150,cc18_4,-1,ag-bagging,0.006053737732502,0.9975,0.0074982988366316,0.9975,5
151,cc18_9,-1,ag-bagging,0.3540085851101318,0.8981481481481481,0.4477366930906193,0.8055555555555556,6
152,cc18_29,-1,ag-bagging,0.5217546084866108,0.7008547008547008,0.5320017022143144,0.6666666666666666,7
153,cc18_12,-1,ag-bagging,0.0151996605696331,0.995,0.0054286450660936,1.0,13
154,cc18_10,-1,ag-bagging,0.0465564710768729,0.9857142857142858,0.1459570522397116,0.95,5
155,cc18_11,-1,ag-bagging,0.002053730657409,1.0,0.0029501545025116,1.0,8
156,cc18_22,-1,ag-bagging,0.2566208949648169,0.8977635782747604,0.2441046937426748,0.9009584664536742,11
157,cc18_11,-1,ag-bagging,0.0467829306545778,1.0,0.0528337577445091,0.995,6
158,cc18_23,-1,ag-bagging,0.0024658138945653,1.0,0.0051872637001131,1.0,6
159,cc18_27,-1,ag-bagging,0.0964085872109077,0.9824561403508772,0.0832555943233812,0.9649122807017544,7
160,cc18_7,-1,ag-bagging,0.0756501344235748,0.9537037037037036,0.1780180692427562,0.9074074074074074,5
161,cc18_17,-1,ag-bagging,0.4560344854049055,0.78,0.5238862594664251,0.725,14
162,cc18_22,-1,ag-bagging,0.1943220262280575,0.9233226837060704,0.2866903027580967,0.8753993610223643,9
163,cc18_16,-1,ag-bagging,0.1078509680638214,0.9710144927536232,0.142856173673387,0.9420289855072465,8
164,cc18_4,-1,ag-bagging,0.0514681244292085,1.0,0.0514099477348663,1.0,7
